set_no,card_no,row_no,c1,c2,c3,c4,c5,c6,c7,c8,c9
20,3,1,,12,22,35,,53,,76,
20,3,2,7,16,,37,40,,62,,
20,3,3,,19,27,,43,,64,,84
20,4,1,3,,,30,41,,61,,81
20,4,2,,17,,32,45,,63,,89
20,4,3,9,,25,,49,54,,77,
20,5,1,,,23,33,,51,60,,80
20,5,2,,13,,39,42,,,71,85
20,5,3,5,,26,,47,55,67,,
20,6,1,8,10,,34,,50,,79,
20,6,2,,15,20,,,58,65,,87
20,6,3,,18,24,,44,,69,,90
21,1,1,,10,,36,,51,,72,80
21,1,2,8,,21,,42,58,,,82
21,1,3,,18,29,,47,,65,79,
21,2,1,,12,,30,,52,61,,84
21,2,2,5,,23,,41,57,62,,
21,2,3,,17,,34,46,,68,71,
21,3,1,,14,,33,,55,,73,86
21,3,2,2,,25,,45,59,,78,
21,3,3,7,,27,,49,,60,,88
21,4,1,,11,,35,43,,,70,81
21,4,2,6,,20,38,,,64,75,
21,4,3,,13,,39,,53,69,76,
21,5,1,4,,22,,40,,63,,83
21,5,2,,15,28,,48,,66,,85
21,5,3,,19,,31,,54,,74,87
21,6,1,1,16,,32,,50,,77,
21,6,2,3,,24,,44,,67,,89
21,6,3,9,,26,37,,56,,,90
22,1,1,2,,20,,,58,61,71,
22,1,2,6,,28,,49,,63,73,
22,1,3,,16,,39,,,66,75,88
22,2,1,1,14,,31,40,,,78,
22,2,2,,18,22,,,55,60,,80
22,2,3,8,,,33,44,,69,,82
22,3,1,,10,23,,46,50,,,85
22,3,2,7,13,,36,48,,68,,
22,3,3,,17,26,38,,54,,77,
22,4,1,3,,,32,,,62,74,81
22,4,2,9,,29,,42,53,,,84
22,4,3,,12,,37,,57,,76,86
22,5,1,4,,24,,41,52,,,87
22,5,2,,,27,30,43,,65,,89
22,5,3,,15,,34,45,56,,70,
22,6,1,,11,21,,,51,,72,83
22,6,2,,19,,35,,59,64,,90
22,6,3,5,,25,,47,,67,79,
23,1,1,1,12,,,40,,,70,82
23,1,2,,17,,36,,57,,74,85
23,1,3,5,,26,,49,,60,,88
23,2,1,,11,23,,43,51,,71,
23,2,2,3,,25,32,,52,,77,
23,2,3,,14,,35,,58,66,,86
23,3,1,7,,20,33,,50,65,,
23,3,2,,15,,38,41,54,,78,
23,3,3,,19,27,,45,56,,,80
23,4,1,2,,,30,44,,68,,81
23,4,2,6,,21,,46,53,,,87
23,4,3,,18,,37,48,,,75,90
23,5,1,,16,24,,,59,61,72,
23,5,2,4,,28,,42,,63,73,
23,5,3,9,,,34,,,67,79,84
23,6,1,,10,22,,47,,62,,83
23,6,2,,13,,31,,55,64,76,
23,6,3,8,,29,39,,,69,,89
24,1,1,2,11,,,42,,,70,82
24,1,2,,15,,35,,56,,72,85
24,1,3,8,,21,,46,,60,,88
24,2,1,,10,22,,48,52,,71,
24,2,2,4,,28,31,,54,,78,
24,2,3,,16,,37,,58,66,,86
24,3,1,6,,23,30,,50,65,,
24,3,2,,13,,39,40,55,,74,
24,3,3,,18,29,,44,59,,,80
24,4,1,1,,,32,41,,68,,81
24,4,2,9,,24,,43,53,,,87
24,4,3,,17,,36,47,,,75,90
24,5,1,,12,20,,,51,61,73,
24,5,2,3,,25,,49,,63,76,
24,5,3,7,,,33,,,67,79,84
24,6,1,,14,26,,45,,62,,83
24,6,2,,19,,34,,57,64,77,
24,6,3,5,,27,38,,,69,,89
25,1,1,,18,,30,41,,64,72,
25,1,2,1,,23,,48,52,,,84
25,1,3,8,,29,36,,59,,79,
25,2,1,3,,,32,,53,,70,80
25,2,2,9,,24,,47,,67,,83
25,2,3,,12,,34,,57,,74,86
25,3,1,,13,21,31,,50,,,89
25,3,2,,14,28,,43,56,,76,
25,3,3,6,16,,38,49,,63,,
25,4,1,2,,22,,,58,61,71,
25,4,2,,15,,33,,,65,75,82
25,4,3,7,,26,,40,,69,78,
25,5,1,,,25,,42,55,,77,85
25,5,2,4,,,35,44,,66,,87
25,5,3,,17,,39,46,,68,,90
25,6,1,5,10,,37,,51,,,81
25,6,2,,11,20,,,54,60,73,
25,6,3,,19,27,,45,,62,,88
26,1,1,,10,,32,43,,67,,80
26,1,2,1,,20,,45,55,,78,
26,1,3,5,,,39,47,,69,,88
26,2,1,3,,23,,,57,60,71,
26,2,2,8,,27,,41,,62,72,
26,2,3,,14,,37,,,66,76,83
26,3,1,6,11,22,,40,,64,,
26,3,2,,15,26,,44,51,,75,
26,3,3,,18,29,34,,59,,,86
26,4,1,2,,,31,42,50,,70,
26,4,2,,17,,35,49,,65,,85
26,4,3,9,,24,38,,53,,79,
26,5,1,,13,,33,,,68,74,81
26,5,2,4,,25,,48,52,,,87
26,5,3,,19,,36,,54,,77,90
26,6,1,,12,21,,46,,61,,82
26,6,2,,16,,30,,56,,73,84
26,6,3,7,,28,,,58,63,,89
27,1,1,,16,,31,42,,61,,81
27,1,2,2,,25,,46,58,,75,
27,1,3,4,,,33,48,,65,,85
27,2,1,1,,21,,,52,63,70,
27,2,2,7,,24,,49,,64,73,
27,2,3,,11,,35,,,68,77,87
27,3,1,9,12,20,,41,,62,,
27,3,2,,17,23,,45,50,,79,
27,3,3,,19,28,38,,56,,,90
27,4,1,3,,,30,40,51,,72,
27,4,2,,15,,32,47,,60,,89
27,4,3,5,,26,36,,54,,74,
27,5,1,,10,,34,,,66,76,80
27,5,2,8,,27,,43,55,,,82
27,5,3,,14,,39,,59,,78,84
27,6,1,,13,22,,44,,67,,83
27,6,2,,18,,37,,53,,71,86
27,6,3,6,,29,,,57,69,,88
28,1,1,,12,,33,,52,,72,81
28,1,2,,15,23,,49,,,75,85
28,1,3,1,18,,34,,,68,76,
28,2,1,,11,,30,40,51,,74,
28,2,2,3,,26,,44,56,62,,
28,2,3,,13,,39,,58,66,,80
28,3,1,,,21,,45,,65,70,82
28,3,2,7,,24,,47,,69,,86
28,3,3,,14,,37,,55,,77,90
28,4,1,2,17,,,42,,63,,84
28,4,2,5,,25,31,,,67,,89
28,4,3,8,,29,38,,57,,78,
28,5,1,4,,28,,41,,61,,83
28,5,2,6,10,,,43,50,,71,
28,5,3,,16,,35,,53,,73,88
28,6,1,,,20,32,46,,60,,87
28,6,2,9,,22,36,,54,64,,
28,6,3,,19,27,,48,59,,79,
29,1,1,,11,,31,,53,,70,83
29,1,2,,14,27,,46,,,74,89
29,1,3,2,19,,35,,,64,78,
29,2,1,,10,,32,41,50,,73,
29,2,2,5,,28,,48,57,60,,
29,2,3,,17,,38,,59,63,,88
29,3,1,,,20,,43,,61,71,81
29,3,2,8,,25,,49,,66,,84
29,3,3,,16,,36,,54,,79,87
29,4,1,1,18,,,44,,62,,80
29,4,2,4,,22,33,,,69,,86
29,4,3,9,,26,37,,56,,76,
29,5,1,3,,29,,42,,67,,85
29,5,2,7,13,,,47,51,,75,
29,5,3,,15,,39,,55,,77,90
29,6,1,,,21,30,40,,65,,82
29,6,2,6,,23,34,,52,68,,
29,6,3,,12,24,,45,58,,72,
30,1,1,,11,,32,42,51,,70,
30,1,2,8,,,34,48,,60,74,
30,1,3,,,25,39,,59,64,,80
30,2,1,3,,20,,40,,,77,82
30,2,2,6,13,,,45,,61,,84
30,2,3,,19,,37,,58,65,,90
30,3,1,,10,,35,,,66,71,81
30,3,2,9,15,,,47,,,75,83
30,3,3,,18,29,,,53,68,,89
30,4,1,4,12,,31,41,,,,86
30,4,2,,16,,36,,50,69,73,
30,4,3,7,,26,,49,55,,79,
30,5,1,,14,22,,,54,63,72,
30,5,2,2,,24,38,,57,,78,
30,5,3,5,,27,,43,,67,,88
30,6,1,,,21,30,44,,62,,85
30,6,2,1,,23,,46,52,,,87
30,6,3,,17,28,33,,56,,76,
31,1,1,,15,,30,41,55,,71,
31,1,2,5,,,36,46,,62,78,
31,1,3,,,27,38,,57,69,,85
31,2,1,1,,26,,43,,,76,80
31,2,2,7,10,,,49,,60,,86
31,2,3,,16,,31,,54,63,,88
31,3,1,,12,,33,,,61,72,82
31,3,2,4,14,,,44,,,79,87
31,3,3,,17,22,,,56,67,,90
31,4,1,2,11,,37,40,,,,81
31,4,2,,13,,39,,51,65,73,
31,4,3,9,,28,,48,53,,75,
31,5,1,,19,21,,,52,64,74,
31,5,2,3,,23,34,,59,,77,
31,5,3,8,,29,,47,,66,,83
31,6,1,,,20,32,42,,68,,84
31,6,2,6,,24,,45,50,,,89
31,6,3,,18,25,35,,58,,70,
32,1,1,,11,20,,48,50,,,84
32,1,2,,19,,32,,54,63,74,
32,1,3,1,,23,36,,,65,78,
32,2,1,3,,22,,45,52,,,82
32,2,2,9,,,31,47,,,76,88
32,2,3,,16,,34,49,,69,,90
32,3,1,5,12,,38,,,62,70,
32,3,2,,14,25,,,56,,71,85
32,3,3,8,,29,,43,,64,77,
32,4,1,,10,,35,,58,,72,80
32,4,2,2,17,,,41,,61,,86
32,4,3,6,,27,,42,,68,,89
32,5,1,4,,21,30,,53,,73,
32,5,2,,,26,33,,59,60,75,
32,5,3,,18,,37,44,,67,,87
32,6,1,,13,,39,,51,66,,81
32,6,2,7,,24,,40,55,,,83
32,6,3,,15,28,,46,57,,79,
33,1,1,,15,21,,44,55,,,86
33,1,2,,18,,30,,59,60,70,
33,1,3,6,,24,39,,,66,73,
33,2,1,2,,26,,40,53,,,80
33,2,2,7,,,33,42,,,71,83
33,2,3,,17,,35,48,,68,,87
33,3,1,1,10,,37,,,61,72,
33,3,2,,13,27,,,57,,75,89
33,3,3,4,,28,,47,,67,79,
33,4,1,,12,,36,,50,,78,81
33,4,2,3,16,,,43,,62,,85
33,4,3,8,,25,,46,,69,,90
33,5,1,5,,20,32,,51,,74,
33,5,2,,,29,34,,56,64,76,
33,5,3,,11,,38,49,,65,,88
33,6,1,,14,,31,,52,63,,82
33,6,2,9,,22,,41,54,,,84
33,6,3,,19,23,,45,58,,77,
34,1,1,,10,23,,43,,,78,80
34,1,2,1,16,,35,,58,,,82
34,1,3,4,,29,,48,,63,,85
34,2,1,,,20,30,,51,64,71,
34,2,2,3,,22,39,,55,,,86
34,2,3,,13,25,,41,,65,76,
34,3,1,,14,,,45,56,,73,81
34,3,2,,17,27,,,,61,77,83
34,3,3,7,19,,36,,,66,,87
34,4,1,2,,,31,47,,,72,84
34,4,2,5,18,,33,,54,67,,
34,4,3,9,,24,,49,,,79,90
34,5,1,6,,,32,40,50,,70,
34,5,2,,,28,,46,52,62,,89
34,5,3,,12,,38,,59,69,75,
34,6,1,,11,,34,42,53,,,88
34,6,2,8,,21,37,,57,60,,
34,6,3,,15,26,,44,,68,74,
35,1,1,,14,24,,40,,,74,84
35,1,2,2,18,,38,,52,,,89
35,1,3,6,,28,,49,,69,,90
35,2,1,,,21,32,,50,60,72,
35,2,2,5,,23,37,,57,,,85
35,2,3,,17,27,,47,,67,75,
35,3,1,,10,,,46,59,,70,80
35,3,2,,12,22,,,,62,79,86
35,3,3,9,15,,31,,,68,,88
35,4,1,1,,,35,41,,,71,81
35,4,2,3,11,,39,,51,64,,
35,4,3,7,,26,,44,,,73,83
35,5,1,8,,,34,42,53,,76,
35,5,2,,,25,,48,55,61,,82
35,5,3,,13,,36,,58,65,78,
35,6,1,,16,,30,43,54,,,87
35,6,2,4,,20,33,,56,63,,
35,6,3,,19,29,,45,,66,77,
36,1,1,1,,20,,44,,65,,86
36,1,2,,12,24,,49,,69,,88
36,1,3,7,17,,37,,59,,75,
36,2,1,,10,,32,,54,,77,80
36,2,2,3,,21,,43,,,78,83
36,2,3,,19,,39,,,62,79,87
36,3,1,6,,29,,41,50,,,85
36,3,2,8,14,,,45,52,,,90
36,3,3,,16,,38,,56,68,73,
36,4,1,,11,23,,47,,63,70,
36,4,2,2,,,30,,55,,74,81
36,4,3,9,,28,35,,,67,76,
36,5,1,5,,26,,40,51,,72,
36,5,2,,13,,,42,58,61,,82
36,5,3,,15,,36,46,,64,,84
36,6,1,,,22,31,48,,60,,89
36,6,2,4,,25,33,,53,,71,
36,6,3,,18,27,34,,57,66,,
37,1,1,2,,22,,44,,60,,82
37,1,2,,10,28,,47,,64,,89
37,1,3,6,14,,35,,58,,77,
37,2,1,,13,,33,,51,,70,81
37,2,2,9,,25,,42,,,72,84
37,2,3,,18,,37,,,67,76,88
37,3,1,3,,27,,40,53,,,80
37,3,2,5,11,,,48,55,,,86
37,3,3,,15,,30,,57,63,79,
37,4,1,,16,20,,46,,66,71,
37,4,2,1,,,31,,56,,73,85
37,4,3,4,,29,38,,,69,78,
37,5,1,8,,24,,41,52,,75,
37,5,2,,12,,,43,59,65,,83
37,5,3,,19,,34,49,,68,,90
37,6,1,,,21,32,45,,61,,87
37,6,2,7,,23,36,,50,,74,
37,6,3,,17,26,39,,54,62,,
38,1,1,,,21,31,,50,61,,86
38,1,2,,13,,34,,52,65,76,
38,1,3,9,,28,,45,56,69,,
38,2,1,2,,25,,49,,62,,80
38,2,2,4,12,27,,,,66,,84
38,2,3,7,16,,37,,51,,71,
38,3,1,,15,,35,,,67,72,81
38,3,2,6,,22,39,,53,,74,
38,3,3,,18,29,,47,,,78,88
38,4,1,1,10,,,41,55,,,89
38,4,2,5,17,,32,,57,,79,
38,4,3,,19,24,,48,59,60,,
38,5,1,8,,,30,42,,64,,82
38,5,2,,,23,,43,58,,73,87
38,5,3,,11,,33,44,,,75,90
38,6,1,,,20,36,,54,,70,83
38,6,2,,14,26,,40,,63,,85
38,6,3,3,,,38,46,,68,77,
39,1,1,,,24,30,,53,62,,87
39,1,2,,17,,38,,55,64,75,
39,1,3,1,,29,,41,58,68,,
39,2,1,3,,22,,46,,60,,88
39,2,2,6,10,26,,,,67,,90
39,2,3,9,14,,36,,56,,74,
39,3,1,,11,,32,,,63,70,82
39,3,2,5,,20,37,,57,,73,
39,3,3,,19,23,,44,,,77,85
39,4,1,2,12,,,43,51,,,81
39,4,2,8,13,,34,,52,,78,
39,4,3,,18,28,,47,54,69,,
